,,Value Tier,Ps,#,Player,Age,Team,OVR,,KTC,vKTC,Market Rank,,Buy/Sell/Hold,,Relative Base Value
20.06,,4th +,WR,WR90,Elijah Moore,25.3,BUF,234,,262,+28,WR,89,🔥 Soft Buy,,0.3
20.07,,4th +,,,Derek Carr,,,235,,,-235,N/A,,🛑 Hard Sell,,0.3
20.08,,4th +,RB,RB71,Damien Martinez,21.4,SEA,236,,275,+39,RB,76,🚀 Hard Buy,,0.3
20.09,,4th +,WR,WR91,Tory Horton,22.6,SEA,237,,239,+2,WR,84,Hold,,0.3
20.10,,4th +,WR,WR92,Keenan Allen,33.2,FA,238,,326,+88,WR,115,🚀 Hard Buy,,0.3
20.11,,4th +,TE,TE36,Hunter Henry,30.6,NEP,239,,250,+11,TE,34,Hold,,0.3
20.12,,4th +,WR,WR93,Luke McCaffrey,24.2,WAS,240,,277,+37,WR,94,🚀 Hard Buy,,0.3
21.01,,4th +,RB,RB72,Isaiah Davis,23.4,NYJ,241,,283,+42,RB,77,🚀 Hard Buy,,0.3
21.02,,4th +,WR,WR94,Tai Felton,22.3,MIN,242,,294,+52,WR,102,🚀 Hard Buy,,0.3
21.03,,4th +,RB,RB73,Sean Tucker,23.7,TBB,243,,274,+31,RB,75,🚀 Hard Buy,,0.3
21.04,,4th +,WR,WR95,Malik Washington,24.5,MIA,244,,287,+43,WR,98,🚀 Hard Buy,,0.3
21.05,,4th +,RB,RB74,Nick Chubb,29.5,HOU,245,,269,+24,RB,73,🔥 Soft Buy,,0.3
21.06,,4th +,WR,WR96,Savion Williams,23.6,GBP,246,,263,+17,WR,90,🔥 Soft Buy,,0.3
21.07,,4th,WR,WR97,Tre Tucker,24.3,LVR,247,,268,+21,WR,93,🔥 Soft Buy,,0.2
21.08,,4th,WR,WR98,Parker Washington,23.3,JAC,248,,313,+65,WR,109,🚀 Hard Buy,,0.2
21.09,,4th,TE,TE37,Zach Ertz,34.6,WAS,249,,273,+24,TE,38,🔥 Soft Buy,,0.2
21.10,,4th,WR,WR99,Jalen Tolbert,26.3,DAL,250,,314,+64,WR,110,🚀 Hard Buy,,0.2
21.11,,4th,WR,WR100,Tutu Atwell,25.7,LAR,251,,300,+49,WR,103,🚀 Hard Buy,,0.2
21.12,,4th,WR,WR101,Dyami Brown,25.7,JAC,252,,282,+30,WR,96,🚀 Hard Buy,,0.2
22.01,,4th,RB,RB75,Will Shipley,22.8,PHI,253,,251,-2,RB,69,Hold,,0.2
22.02,,4th,TE,TE38,Dawson Knox,28.6,BUF,254,,310,+56,TE,42,🚀 Hard Buy,,0.2
22.03,,4th,QB,QB40,Jameis Winston,31.5,NYG,255,,312,+57,QB,43,🚀 Hard Buy,,0.2
22.04,,4th,WR,WR102,Darius Slayton,28.5,NYG,256,,292,+36,WR,101,🚀 Hard Buy,,0.2
22.05,,4th,RB,RB76,Kareem Hunt,29.9,KCC,257,,308,+51,RB,81,🚀 Hard Buy,,0.2
22.06,,4th,QB,QB41,Sam Howell,24.8,MIN,258,,320,+62,QB,44,🚀 Hard Buy,,0.2
22.07,,4th,WR,WR103,Jalin Hyatt,23.8,NYG,259,,288,+29,WR,99,🔥 Soft Buy,,0.2
22.08,,4th,TE,TE39,Juwan Johnson,28.8,NOS,260,,303,+43,TE,41,🚀 Hard Buy,,0.2
22.09,,4th,RB,RB77,Zack Moss,27.5,CIN,261,,322,+61,RB,82,🚀 Hard Buy,,0.2
22.10,,4th,WR,WR104,Gabriel Davis,26.2,FA,262,,391,+129,WR,131,🚀 Hard Buy,,0.2
22.11,,4th,RB,RB78,Kyle Monangai,23.1,CHI,263,,245,-18,RB,68,⚠️ Soft Sell,,0.2
22.12,,4th,WR,WR105,Jermaine Burton,24,CIN,264,,302,+38,WR,105,🚀 Hard Buy,,0.2
23.01,,4th -,QB,QB42,Spencer Rattler,24.8,NOS,265,,286,+21,QB,40,🔥 Soft Buy,,0.1
23.02,,4th -,WR,WR106,Javon Baker,23.4,NEP,266,,317,+51,WR,113,🚀 Hard Buy,,0.1
23.03,,4th -,RB,RB79,Woody Marks,24.5,HOU,267,,264,-3,RB,72,Hold,,0.1
23.04,,4th -,TE,TE40,Luke Schoonmaker,26.8,DAL,268,,319,+51,TE,44,🚀 Hard Buy,,0.1
23.05,,4th -,WR,WR107,Tez Johnson,23.1,TBB,269,,304,+35,WR,106,🚀 Hard Buy,,0.1
23.06,,4th -,TE,TE41,Cade Stover,25,HOU,270,,335,+65,TE,46,🚀 Hard Buy,,0.1
23.07,,4th -,TE,TE42,Noah Fant,27.6,SEA,271,,296,+25,TE,40,🔥 Soft Buy,,0.1
23.08,,4th -,RB,RB80,Elijah Mitchell,27.2,KCC,272,,306,+34,RB,80,🚀 Hard Buy,,0.1
23.09,,4th -,WR,WR108,DeAndre Hopkins,33.1,BAL,273,,301,+28,WR,104,🔥 Soft Buy,,0.1
23.10,,4th -,WR,WR109,Adam Thielen,34.8,CAR,274,,284,+10,WR,97,Hold,,0.1
23.11,,4th -,WR,WR110,Jahan Dotson,25.3,PHI,275,,329,+54,WR,117,🚀 Hard Buy,,0.1
23.12,,4th -,WR,WR111,Malachi Corley,23.3,NYJ,276,,324,+48,WR,114,🚀 Hard Buy,,0.1
24.01,,4th -,QB,QB43,Aaron Rodgers,41.6,PIT,277,,254,-23,QB,37,⚠️ Soft Sell,,0.1
24.02,,4th -,WR,WR112,Xavier Restrepo,23.2,TEN,278,,249,-29,WR,86,⚠️ Soft Sell,,0.1
24.03,,4th -,TE,TE43,Gunnar Helm,22.8,TEN,279,,285,+6,TE,39,Hold,,0.1
24.04,,4th -,QB,QB44,Kenny Pickett,27.1,CLE,280,,323,+43,QB,45,🚀 Hard Buy,,0.1
24.05,,4th -,WR,WR113,Devaughn Vele,27.6,DEN,281,,305,+24,WR,107,🔥 Soft Buy,,0.1
24.06,,4th -,TE,TE44,Erick All,24.8,CIN,282,,318,+36,TE,43,🚀 Hard Buy,,0.1
24.07,,4th -,WR,WR114,Tyler Lockett,32.8,TEN,283,,340,+57,WR,121,🚀 Hard Buy,,0.1
24.08,,4th -,WR,WR115,Jalen Nailor,26.3,MIN,284,,315,+31,WR,111,🚀 Hard Buy,,0.1
24.09,,4th -,QB,QB45,Will Levis,26,TEN,285,,352,+67,QB,48,🚀 Hard Buy,,0.1
24.10,,4th -,WR,WR116,Jaylin Lane,23.2,WAS,286,,279,-7,WR,95,Hold,,0.1
24.11,,4th -,QB,QB46,Malik Willis,26.1,GBP,287,,311,+24,QB,42,🔥 Soft Buy,,0.1
24.12,,4th -,RB,RB81,Justice Hill,27.6,BAL,288,,298,+10,RB,79,Hold,,0.1
25.01,,4th -,WR,WR117,Curtis Samuel,28.9,BUF,289,,332,+43,WR,119,🚀 Hard Buy,,0.1
25.02,,4th -,RB,RB82,Devin Singletary,27.8,NYG,290,,339,+49,RB,85,🚀 Hard Buy,,0.1
25.03,,4th -,WR,WR118,John Metchie,25,HOU,291,,358,+67,WR,128,🚀 Hard Buy,,0.1
25.04,,4th -,WR,WR119,Trey Palmer,24.2,TBB,292,,327,+35,WR,116,🚀 Hard Buy,,0.1
25.05,,4th -,WR,WR120,Jonathan Mingo,24.2,DAL,293,,347,+54,WR,122,🚀 Hard Buy,,0.1
25.06,,4th -,WR,WR121,Diontae Johnson,29,CLE,294,,333,+39,WR,120,🚀 Hard Buy,,0.1
25.07,,4th -,QB,QB47,Joe Flacco,40.4,CLE,295,,330,+35,QB,46,🚀 Hard Buy,,0.1
25.08,,4th -,RB,RB83,Kimani Vidal,23.8,LAC,296,,346,+50,RB,89,🚀 Hard Buy,,0.1
25.09,,5th or less,TE,TE45,AJ Barner,23.2,SEA,297,,353,+56,TE,48,🚀 Hard Buy,,0.05
25.10,,5th or less,WR,WR122,Rondale Moore,25.1,MIN,298,,354,+56,WR,125,🚀 Hard Buy,,0.05
25.11,,5th or less,RB,RB84,Antonio Gibson,27,NEP,299,,370,+71,RB,91,🚀 Hard Buy,,0.05
25.12,,5th or less,RB,RB85,Kenneth Gainwell,26.3,PIT,300,,341,+41,RB,86,🚀 Hard Buy,,0.05
26.01,,5th or less,RB,RB86,Ty Johnson,27.8,BUF,301,,336,+35,RB,84,🚀 Hard Buy,,0.05
26.02,,5th or less,TE,TE46,Taysom Hill,34.8,NOS,302,,387,+85,TE,50,🚀 Hard Buy,,0.05
26.03,,5th or less,WR,WR123,Treylon Burks,25.3,TEN,303,,355,+52,WR,126,🚀 Hard Buy,,0.05
26.04,,5th or less,WR,WR124,Calvin Austin III,26.3,PIT,304,,267,-37,WR,92,🛑 Hard Sell,,0.05
26.05,,5th or less,RB,RB87,Khalil Herbert,27.2,IND,305,,343,+38,RB,88,🚀 Hard Buy,,0.05
26.06,,5th or less,QB,QB48,Mac Jones,26.8,SFO,306,,344,+38,QB,47,🚀 Hard Buy,,0.05
26.07,,5th or less,WR,WR125,Devontez Walker,24,BAL,307,,350,+43,WR,124,🚀 Hard Buy,,0.05
26.08,,5th or less,TE,TE47,Darnell Washington,23.9,PIT,308,,334,+26,TE,45,🔥 Soft Buy,,0.05
26.09,,5th or less,WR,WR126,Nick Westbrook-Ikhine,28.3,MIA,309,,331,+22,WR,118,🔥 Soft Buy,,0.05
26.10,,5th or less,RB,RB88,Dameon Pierce,25.4,HOU,310,,363,+53,RB,90,🚀 Hard Buy,,0.05
26.11,,5th or less,QB,QB49,Mason Rudolph,30,PIT,311,,384,+73,QB,50,🚀 Hard Buy,,0.05
26.12,,5th or less,WR,WR127,Jacob Cowing,24.4,SFO,312,,316,+4,WR,112,Hold,,0.05
27.01,,5th or less,TE,TE48,Oronde Gadsden,22,LAC,313,,242,-71,TE,31,🛑 Hard Sell,,0.05
27.02,,5th or less,WR,WR128,Tahj Washington,24.1,MIA,314,,348,+34,WR,123,🚀 Hard Buy,,0.05
27.03,,5th or less,RB,RB89,Miles Sanders,28.2,DAL,315,,328,+13,RB,83,Hold,,0.05
27.04,,5th or less,RB,RB90,Emanuel Wilson,26.2,GBP,316,,342,+26,RB,87,🔥 Soft Buy,,0.05
27.05,,5th or less,WR,WR129,Mike Williams,30.7,LAC,317,,356,+39,WR,127,🚀 Hard Buy,,0.05
27.06,,5th or less,WR,WR130,Xavier Hutchinson,25.1,HOU,318,,365,+47,WR,130,🚀 Hard Buy,,0.05
27.07,,5th or less,RB,RB91,Alexander Mattison,27,MIA,319,,374,+55,RB,92,🚀 Hard Buy,,0.05
27.08,,5th or less,WR,WR131,Greg Dortch,27.1,ARI,320,,359,+39,WR,129,🚀 Hard Buy,,0.05
27.09,,5th or less,TE,TE49,Tyler Conklin,29.9,LAC,321,,338,+17,TE,47,🔥 Soft Buy,,0.05
27.10,,5th or less,TE,TE50,Daniel Bellinger,24.8,NYG,322,,366,+44,TE,49,🚀 Hard Buy,,0.05
27.11,,5th or less,QB,QB50,Zach Wilson,25.9,MIA,323,,362,+39,QB,49,🚀 Hard Buy,,0.05
27.12,,5th or less,RB,RB92,Brashard Smith,22.2,KCC,324,,218,-106,RB,62,🛑 Hard Sell,,0.05
28.01,,5th or less,TE,TE51,Colby Parkinson,26.5,LAR,325,,372,+47,TE,49,🚀 Hard Buy,,0.05
28.02,,5th or less,RB,RB93,Israel Abanikanda,22.7,SFO,326,,376,+50,RB,92,🚀 Hard Buy,,0.05
28.03,,5th or less,TE,TE52,Greg Dulcich,25.3,NYG,327,,407,+80,TE,50,🚀 Hard Buy,,0.05
28.04,,5th or less,TE,TE53,Tyler Higbee,32.5,LAR,328,,357,+29,TE,48,🔥 Soft Buy,,0.05
28.05,,5th or less,WR,WR132,Brenden Rice,23.3,LAC,329,,402,+73,WR,131,🚀 Hard Buy,,0.05
28.06,,5th or less,WR,WR133,Noah Brown,29.5,WAS,330,,381,+51,WR,130,🚀 Hard Buy,,0.05
28.07,,5th or less,TE,TE54,Tommy Tremble,25.1,CAR,331,,377,+46,TE,49,🚀 Hard Buy,,0.05
28.08,,5th or less,RB,RB94,AJ Dillon,27.2,PHI,332,,373,+41,RB,91,🚀 Hard Buy,,0.05
28.09,,5th or less,TE,TE55,Will Dissly,29,LAC,333,,375,+42,TE,49,🚀 Hard Buy,,0.05
28.10,,5th or less,TE,TE56,Grant Calcaterra,26.6,PHI,334,,400,+66,TE,50,🚀 Hard Buy,,0.05
28.11,,5th or less,RB,RB95,Cam Akers,26,NOS,335,,383,+48,RB,92,🚀 Hard Buy,,0.05
28.12,,5th or less,WR,WR134,Kendrick Bourne,29.9,NEP,336,,360,+24,WR,129,🔥 Soft Buy,,0.05
29.01,,5th or less,TE,TE57,Jared Wiley,24.7,KCC,337,,367,+30,TE,49,🚀 Hard Buy,,0.05
29.02,,5th or less,RB,RB96,Zamir White,25.8,LVR,338,,398,+60,RB,92,🚀 Hard Buy,,0.05
29.03,,5th or less,WR,WR135,Bub Means,24.5,NOS,339,,380,+41,WR,130,🚀 Hard Buy,,0.05
29.04,,5th or less,QB,QB51,Aidan O'Connell,26.8,LVR,340,,385,+45,QB,50,🚀 Hard Buy,,0.05
29.05,,5th or less,WR,WR136,Brandin Cooks,31.8,NOS,341,,403,+62,WR,131,🚀 Hard Buy,,0.05
29.06,,5th or less,TE,TE58,Elijah Higgins,24.7,ARI,342,,394,+52,TE,50,🚀 Hard Buy,,0.05
29.07,,5th or less,QB,QB52,Drew Lock,28.6,SEA,343,,390,+47,QB,50,🚀 Hard Buy,,0.05
29.08,,5th or less,WR,WR137,Isaiah Bond,-1,FA,344,,467,+123,WR,131,🚀 Hard Buy,,0.05
29.09,,5th or less,WR,WR138,Jake Bobo,26.9,SEA,345,,395,+50,WR,131,🚀 Hard Buy,,0.05
29.10,,5th or less,TE,TE59,Brevin Jordan,25,HOU,346,,392,+46,TE,50,🚀 Hard Buy,,0.05
29.11,,5th or less,RB,RB97,Sincere McCormick,24.8,LVR,347,,401,+54,RB,92,🚀 Hard Buy,,0.05
29.12,,5th or less,QB,QB53,Gardner Minshew,29.1,KCC,348,,399,+51,QB,50,🚀 Hard Buy,,0.05
30.01,,5th or less,QB,QB54,Riley Leonard,22.8,IND,349,,345,-4,QB,47,Hold,,0.05
30.02,,5th or less,QB,QB55,Hendon Hooker,27.5,DET,350,,388,+38,QB,50,🚀 Hard Buy,,0.05
30.03,,5th or less,WR,WR139,Ray-Ray McCloud,28.7,ATL,351,,371,+20,WR,130,🔥 Soft Buy,,0.05
30.04,,5th or less,RB,RB98,Chris Rodriguez,25.8,WAS,352,,393,+41,RB,92,🚀 Hard Buy,,0.05
30.05,,5th or less,RB,RB99,Deuce Vaughn,23.7,DAL,353,,416,+63,RB,92,🚀 Hard Buy,,0.05
30.06,,5th or less,RB,RB100,Frank Gore Jr.,23.3,BUF,354,,405,+51,RB,92,🚀 Hard Buy,,0.05
30.07,,5th or less,WR,WR140,Bo Melton,26.1,GBP,355,,411,+56,WR,131,🚀 Hard Buy,,0.05
30.08,,5th or less,RB,RB101,Rasheen Ali,24.4,BAL,356,,408,+52,RB,92,🚀 Hard Buy,,0.05
30.09,,5th or less,WR,WR141,Xavier Gipson,24.3,NYJ,357,,389,+32,WR,130,🚀 Hard Buy,,0.05
30.10,,5th or less,WR,WR142,JuJu Smith-Schuster,28.6,KCC,358,,409,+51,WR,131,🚀 Hard Buy,,0.05
30.11,,5th or less,WR,WR143,KaVontae Turpin,28.9,DAL,359,,404,+45,WR,131,🚀 Hard Buy,,0.05
30.12,,5th or less,WR,WR144,K.J. Osborn,28,WAS,360,,424,+64,WR,131,🚀 Hard Buy,,0.05
31.01,,5th or less,RB,RB102,Jase McClellan,23,FA,361,,461,+100,RB,92,🚀 Hard Buy,,0.05
31.02,,5th or less,QB,QB56,Kyle McCord,22.8,PHI,362,,412,+50,QB,50,🚀 Hard Buy,,0.05
31.03,,5th or less,RB,RB103,Ty Chandler,27.1,MIN,363,,397,+34,RB,92,🚀 Hard Buy,,0.05
31.04,,5th or less,TE,TE60,Davis Allen,24.4,LAR,364,,419,+55,TE,50,🚀 Hard Buy,,0.05
31.05,,5th or less,WR,WR145,Johnny Wilson,24.2,PHI,365,,410,+45,WR,131,🚀 Hard Buy,,0.05
31.06,,5th or less,RB,RB104,Raheem Mostert,33.2,LVR,366,,379,+13,RB,92,Hold,,0.05
31.07,,5th or less,WR,WR146,A.T. Perry,25.7,DEN,367,,444,+77,WR,131,🚀 Hard Buy,,0.05
31.08,,5th or less,WR,WR147,Mack Hollins,31.8,NEP,368,,437,+69,WR,131,🚀 Hard Buy,,0.05
31.09,,5th or less,RB,RB105,Carson Steele,22.7,KCC,369,,423,+54,RB,92,🚀 Hard Buy,,0.05
31.10,,5th or less,WR,WR148,Olamide Zaccheaus,27.9,CHI,370,,422,+52,WR,131,🚀 Hard Buy,,0.05
31.11,,5th or less,RB,RB106,Tyler Goodson,24.6,IND,371,,382,+11,RB,92,Hold,,0.05
31.12,,5th or less,WR,WR149,Demarcus Robinson,30.8,SFO,372,,413,+41,WR,131,🚀 Hard Buy,,0.05
32.01,,5th or less,WR,WR150,Tyquan Thornton,24.9,KCC,373,,386,+13,WR,130,Hold,,0.05
32.02,,5th or less,WR,WR151,Isaiah Hodgins,26.7,SFO,374,,442,+68,WR,131,🚀 Hard Buy,,0.05
32.03,,5th or less,WR,WR152,Jamari Thrash,24.5,CLE,375,,426,+51,WR,131,🚀 Hard Buy,,0.05
32.04,,5th or less,RB,RB107,Dylan Laube,25.5,LVR,376,,446,+70,RB,92,🚀 Hard Buy,,0.05
32.05,,5th or less,RB,RB108,Emari Demercado,26.4,ARI,377,,432,+55,RB,92,🚀 Hard Buy,,0.05
32.06,,5th or less,RB,RB109,Michael Carter,26.2,ARI,378,,434,+56,RB,92,🚀 Hard Buy,,0.05
32.07,,5th or less,WR,WR153,Tyler Johnson,26.8,NYJ,379,,415,+36,WR,131,🚀 Hard Buy,,0.05
32.08,,5th or less,WR,WR154,Tim Patrick,31.6,DET,380,,430,+50,WR,131,🚀 Hard Buy,,0.05
32.09,,5th or less,WR,WR155,Terrace Marshall,25.1,PHI,381,,459,+78,WR,131,🚀 Hard Buy,,0.05
32.10,,5th or less,WR,WR156,Mecole Hardman,27.3,GBP,382,,431,+49,WR,131,🚀 Hard Buy,,0.05
32.11,,5th or less,RB,RB110,Sione Vaki,23.9,DET,383,,436,+53,RB,92,🚀 Hard Buy,,0.05
32.12,,5th or less,TE,TE61,Jeremy Ruckert,24.9,NYJ,384,,449,+65,TE,50,🚀 Hard Buy,,0.05
33.01,,5th or less,WR,WR157,Mason Tipton,24.8,NOS,385,,421,+36,WR,131,🚀 Hard Buy,,0.05
33.02,,5th or less,WR,WR158,Van Jefferson,28.9,TEN,386,,441,+55,WR,131,🚀 Hard Buy,,0.05
33.03,,5th or less,TE,TE62,Irv Smith,26.9,HOU,387,,443,+56,TE,50,🚀 Hard Buy,,0.05
33.04,,5th or less,WR,WR159,David Bell,24.5,CLE,388,,428,+40,WR,131,🚀 Hard Buy,,0.05
33.05,,5th or less,TE,TE63,Foster Moreau,28.2,NOS,389,,454,+65,TE,50,🚀 Hard Buy,,0.05
33.06,,5th or less,RB,RB111,Tyler Badie,25.4,DEN,390,,457,+67,RB,92,🚀 Hard Buy,,0.05
33.07,,5th or less,RB,RB112,Samaje Perine,29.8,CIN,391,,451,+60,RB,92,🚀 Hard Buy,,0.05
33.08,,5th or less,WR,WR160,KJ Hamler,26,BUF,392,,438,+46,WR,131,🚀 Hard Buy,,0.05
33.09,,5th or less,TE,TE64,Stone Smartt,26.7,NYJ,393,,463,+70,TE,50,🚀 Hard Buy,,0.05
33.10,,5th or less,QB,QB57,Trey Lance,25.1,LAC,394,,448,+54,QB,50,🚀 Hard Buy,,0.05
33.11,,5th or less,WR,WR161,Marquez Valdes-Scantling,30.7,SEA,395,,418,+23,WR,131,🔥 Soft Buy,,0.05
33.12,,5th or less,WR,WR162,Allen Lazard,29.6,NYJ,396,,417,+21,WR,131,🔥 Soft Buy,,0.05
34.01,,5th or less,WR,WR163,Derius Davis,24.8,LAC,397,,440,+43,WR,131,🚀 Hard Buy,,0.05
34.02,,5th or less,RB,RB113,Clyde Edwards-Helaire,26.2,NOS,398,,462,+64,RB,92,🚀 Hard Buy,,0.05
34.03,,5th or less,QB,QB58,Dorian Thompson-Robinson,25.6,PHI,399,,477,+78,QB,50,🚀 Hard Buy,,0.05
